Number of Colonies,Colonies Lost,Colonies Added,Colonies Renovated,Region
30000,4160,4310,4810,Southeast
100500,21600,18210,5760,Southwest
92500,17300,17250,780,Southeast
3560000,533000,525000,573500,West
9700,390,640,810,Northeast
93500,15700,12770,9770,West
952000,156000,217000,167000,Southeast
550000,77500,96500,137000, Southeast
62000,4620,4900,17200,West
405000,55800,43500,53510,West
43500,6560,7000,4200,Midwest
35500,7090,4860,3160,Midwest
163000,13400,17750,5980,Midwest
19100,3070,3020,2700,Midwest
23800,4890,2280,1670,Southeast
201000,9070,12830,6820,Southeast
28600,3630,740,1960,Northeast
21500,1420,3040,1970,Midwest
20300,4110,2110,1690,Northeast
217500,28000,35400,35700,Midwest
313000,509000,63600,33990,Midwest
103000,11900,32340,12700,Southeast
35000,3210,3630,1410,Midwest
293000,28800,32200,42500,West
107500,14200,18600,6540,Midwest
40400,2620,1660,660,Northeast
7900,1250,4090,1450,Southwest
154000,15300,13000,7670,Northeast
68500,10300,8850,3360,Southeast
1021000,102200,63100,62010,Midwest
54500,8500,10770,4930,Midwest
36800,8170,9970,6770,Southwest
327000,33500,53500,88900,West
71000,7460,10770,6070,Northeast
47000,6000,5740,8690,Southeast
341500,55390,31250,72020,Midwest
35000,7000,4370,3140,Southeast
738000,77500,236500,120570,Southwest
79000,10120,11640,5950,West
19000,780,3810,240,Northeast
26500,4300,4020,3150,Southeast
250000,34100,38500,24760,West
26200,4210,2650,1880,Southeast
154000,29100,19300,12490,Midwest
41500,6100,4900,6200,West